ticker,date,stockpx,iv30,iv60,iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclshv,20dclshv,60dclshv,120dclshv,252dclshv,10dorhv,20dorhv,60dorhv,120dorhv,252dorhv
AAPL,2018-12-28,156.23,37.4,38.66,35.4,38.03,23.0,40.47,51.0,35.74,79.0,32.85,177.0,3.54613,0.0629,3.565,0.0532,48.54,41.92,40.58,33.01,28.63,50.37,42.93,39.68,31.68,28.02
AAPL,2018-12-27,156.15,38.74,39.51,36.92,39.87,24.0,40.48,52.0,37.68,80.0,33.61,178.0,3.95835,0.0764,3.588,0.0564,49.28,44.73,40.67,33.08,28.63,50.18,44.01,39.62,31.63,27.98
AAPL,2018-12-26,157.17,38.55,39.72,36.14,39.44,25.0,41.06,53.0,36.73,81.0,33.54,179.0,3.59058,0.073,3.52534,0.0626,49.52,44.74,40.75,33.14,28.74,48.66,43.26,39.29,31.46,27.91
AAPL,2018-12-24,146.83,45.0,43.4,40.3,45.95,27.0,44.18,55.0,40.82,83.0,37.07,181.0,4.0788,0.1012,3.32991,0.051,28.53,36.19,37.66,31.5,27.85,39.84,38.54,37.44,30.33,27.29
AAPL,2018-12-21,150.73,40.92,41.47,38.51,163.72,2.0,41.0,30.0,41.81,58.0,38.97,86.0,4.03111,0.088,3.52976,0.0668,29.34,36.16,37.85,31.38,27.74,39.72,38.26,37.2,30.21,27.18
AAPL,2018-12-20,156.83,37.45,38.6,36.67,47.61,3.0,37.45,31.0,38.74,59.0,36.97,87.0,3.5663,0.0791,3.14367,0.053,28.59,34.37,37.24,30.96,27.47,37.33,35.67,36.32,29.7,26.88
AAPL,2018-12-19,160.89,34.71,36.92,33.8,47.07,4.0,34.83,32.0,37.05,60.0,33.9,88.0,3.0849,0.062,3.01804,0.0419,27.54,36.78,37.09,30.76,27.37,35.16,36.31,35.85,29.45,26.73
AAPL,2018-12-18,166.07,33.06,37.11,34.07,39.61,5.0,33.09,33.0,37.11,61.0,34.13,89.0,3.23071,0.0637,3.32831,0.0591,30.62,37.59,36.89,30.47,27.23,34.59,35.64,35.21,29.01,26.51
AAPL,2018-12-17,163.94,34.93,37.74,34.44,43.66,6.0,34.54,34.0,37.64,62.0,34.49,90.0,3.24931,0.0744,3.34279,0.0613,36.14,37.46,36.74,30.4,27.22,35.97,35.91,35.2,28.98,26.49
AAPL,2018-12-14,165.48,32.15,35.25,32.71,34.13,9.0,32.23,37.0,34.71,65.0,32.57,93.0,3.10223,0.0721,3.18049,0.0642,36.16,39.06,36.81,30.44,27.21,34.85,35.95,34.99,28.9,26.41
AAPL,2018-12-13,170.95,29.44,33.9,31.27,30.8,10.0,28.35,38.0,33.67,66.0,31.01,94.0,2.86133,0.0548,3.13687,0.0602,33.85,38.76,36.37,30.16,27.02,33.91,36.74,34.73,28.79,26.3
AAPL,2018-12-12,169.1,28.82,32.34,31.75,32.49,11.0,29.4,39.0,33.12,67.0,31.53,95.0,3.03742,0.0556,3.23323,0.0603,39.3,38.31,36.26,30.12,27.0,36.82,37.08,34.74,28.74,26.28
AAPL,2018-12-11,168.63,31.37,33.32,32.16,36.25,12.0,32.06,40.0,34.47,68.0,31.7,96.0,3.09902,0.0613,3.2304,0.0599,39.2,40.99,36.53,30.13,27.07,37.09,39.06,34.98,28.75,26.32
AAPL,2018-12-10,169.6,32.45,33.53,32.15,38.6,13.0,32.06,41.0,34.37,69.0,31.6,97.0,3.0587,0.0609,3.17584,0.0613,39.95,41.11,36.55,30.12,27.06,37.19,38.99,34.9,28.65,26.28
AAPL,2018-12-07,168.49,31.68,32.32,31.68,35.04,16.0,31.58,44.0,33.3,72.0,30.97,100.0,3.37389,0.074,3.1185,0.0493,41.25,40.75,36.95,30.19,27.06,36.74,38.16,34.8,28.49,26.17
AAPL,2018-12-06,174.72,28.16,32.27,31.85,33.09,17.0,28.15,45.0,33.37,73.0,31.07,101.0,3.34721,0.0693,2.88314,0.0562,37.8,41.98,36.41,29.76,26.82,33.93,37.61,34.38,28.16,26.02
