date,gross_stock_trades,gross_option_trades,gross_trades_value,stock_PL,option_PL,net_PL,cash,stock_pos_value,option_pos_value,net_pos_value,position_value_check
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-08,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-09,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,10000000.0
2018-02-14,118544.65397999962,172440.0,290984.6539799996,0.0,0.0,0.0,9709015.34602,118544.65397999962,171000.0,9998560.0,9998560.0
2018-02-15,1204217.599464,178751.99999999997,1382969.599464,0.0,0.0,0.0,10734480.945484001,-1084160.3018040005,358332.0,10008652.64368,10008652.64368
2018-02-16,13349.507555999842,0.0,13349.507555999842,0.0,0.0,0.0,10747830.45304,-1097827.4771040003,351120.0,10001122.975936,10001122.975936
2018-02-20,1289014.7342400004,0.0,1289014.7342400004,0.0,0.0,0.0,9458815.7188,198060.98927999992,334776.0,9991652.708080001,9991652.708080001
2018-02-21,1060516.48758,0.0,1060516.48758,0.0,0.0,0.0,8398299.23122,1257592.2803399998,331092.0,9986983.51156,9986983.511559999
2018-02-22,161084.8512000002,0.0,161084.8512000002,0.0,0.0,0.0,8559384.08242,1098137.3395199995,303900.0,9961421.42194,9961421.42194
2018-02-23,3842925.7719959994,0.0,3842925.7719959994,0.0,0.0,0.0,12402309.854416,-2727284.838048,290076.0,9965101.016368,9965101.016368
2018-02-26,2615808.7830000003,0.0,2615808.7830000003,0.0,0.0,0.0,15018118.637416,-5374763.52252,335484.0,9978839.114896,9978839.114896
2018-02-27,3007483.1999679995,147841.0,3155324.1999679995,0.0,0.0,0.0,11862794.437448,-2300168.3059160006,451757.0,10014383.131532,10014383.131532
2018-02-28,3525033.35535,144640.0,3669673.35535,0.0,0.0,0.0,8193121.082098,1248165.9563699998,557813.0,9999100.038468,9999100.038468
2018-03-01,6222222.49559,134412.0,6356634.49559,0.0,0.0,0.0,1836486.5865080003,7452239.15865,740694.0,10029419.745158,10029419.745158
2018-03-02,1658171.3268400002,0.0,1658171.3268400002,0.0,0.0,0.0,3494657.9133479996,5832484.30562,657300.0,9984442.218968,9984442.218968
2018-03-05,6295755.380475,0.0,6295755.380475,0.0,0.0,0.0,9790413.293823,-395859.7986900003,613038.0,10007591.495133,10007591.495133
2018-03-06,1668401.718408,0.0,1668401.718408,0.0,0.0,0.0,11458815.012231,-2065265.0192880002,591575.0,9985124.992943,9985124.992943
2018-03-07,791991.6342399999,108000.0,899991.6342399999,60567.33761999974,-64440.0,-3872.6623800002676,9801933.322270999,-299626.4893179998,459773.0,9962079.832952999,9962079.832952999
2018-03-08,1789311.8898900007,94080.0,1883391.8898900007,137098.30683599948,-149111.99999999997,-12013.693164000491,11978800.792961,-2383863.8719,348399.0,9943335.921061,9943335.921061
2018-03-09,5612392.663374,0.0,5612392.663374,137098.30683599948,-149111.99999999997,-12013.693164000491,17591193.456334997,-8037741.506704,415130.0,9968581.949630996,9968581.949630998
2018-03-12,1208590.9993079994,0.0,1208590.9993079994,137098.30683599948,-149111.99999999997,-12013.693164000491,16382602.457027001,-6819062.618675999,419273.0,9982812.838351002,9982812.838351002
2018-03-13,1262382.9146880007,0.0,1262382.9146880007,137098.30683599948,-149111.99999999997,-12013.693164000491,15120219.542338999,-5512609.932648,353600.0,9961209.609690998,9961209.609690998
2018-03-14,1440968.4325599999,0.0,1440968.4325599999,137098.30683599948,-149111.99999999997,-12013.693164000491,13679251.109779,-4043353.31671,311512.0,9947409.793069001,9947409.793069001
2018-03-15,339168.05999999936,0.0,339168.05999999936,137098.30683599948,-149111.99999999997,-12013.693164000491,13340083.049779,-3699779.1325000008,284831.0,9925134.917279,9925134.917279
2018-03-16,116185.91597999941,0.0,116185.91597999941,137098.30683599948,-149111.99999999997,-12013.693164000491,13456268.965759,-3805202.0546399998,273151.0,9924217.911119,9924217.911119
2018-03-19,5330614.918068001,0.0,5330614.918068001,137098.30683599948,-149111.99999999997,-12013.693164000491,8125654.047691,1576898.2741600003,268598.0,9971150.321851,9971150.321851
2018-03-20,2575205.6917199995,82641.0,2657846.6917199995,192690.76360699954,-214311.99999999997,-21621.236393000443,10532997.710211,-745122.68772,167884.0,9955759.022490999,9955759.022490999
2018-03-21,320358.19283599977,73120.0,393478.19283599977,248934.3180069994,-285831.99999999994,-36897.681993000544,10967965.706335,-1105540.6642920002,80454.0,9942879.042043,9942879.042043
2018-03-22,124055.99672399987,89148.0,213203.99672399985,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-03-23,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-03-26,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-03-27,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-03-28,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-03-29,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-02,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-03,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-04,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-05,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-06,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-09,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-10,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-11,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-12,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-13,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-16,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
2018-04-17,0.0,0.0,0.0,310304.4925869993,-331095.99999999994,-20791.50741300064,9979208.492587,0.0,0.0,9979208.492587,9979208.492587
