date,gross_trades_value,stock_PL,option_PL,net_PL,cash,position_value
2018-01-02,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-03,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-04,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-05,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-08,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-09,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-10,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-11,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-12,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-16,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-17,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-18,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-19,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-22,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-23,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-24,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-25,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-26,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-29,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-30,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-01-31,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-02-01,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-02-02,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2018-02-05,113517.33006800001,0.0,0.0,0.0,10107210.669932,9994764.0
2018-02-06,545159.9932259999,0.0,0.0,0.0,9705366.676706,10006990.127519999
2018-02-07,184745.8132359999,0.0,0.0,0.0,9890112.489942,10043171.988931999
2018-02-08,2254274.86624,0.0,0.0,0.0,12144387.356182,9954589.595052
2018-02-09,877837.1067999998,0.0,0.0,0.0,11410870.249382,9965731.919682
2018-02-12,1291616.9703759998,0.0,0.0,0.0,10204663.279006,10004301.40333
2018-02-13,359766.97979999986,0.0,0.0,0.0,9923556.299206,10016424.326606
2018-02-14,2031855.8329120001,0.0,0.0,0.0,7891700.466294,10030271.664457
2018-02-15,1766433.6036540002,0.0,0.0,0.0,6125266.86264,10019306.768065
2018-02-16,156970.46409800003,0.0,0.0,0.0,6282237.326738,10005337.535865001
2018-02-20,659997.7663800002,0.0,0.0,0.0,6942235.093118001,10021121.449718
2018-02-21,695895.3929900001,0.0,0.0,0.0,7638130.486108,10023806.874068001
2018-02-22,524389.85744,0.0,0.0,0.0,7201842.628668001,10048743.901788
2018-02-23,3529896.8586899997,0.0,0.0,0.0,3671945.769978,10047948.731881
2018-02-26,1167123.3806699996,4302.87462400006,19516.000000000007,23818.874624000066,3355481.737028001,10043765.533448
2018-02-27,2103719.952053,-21150.082183999635,48568.0,27417.91781600037,6233468.882953,10010189.690542001
2018-02-28,427822.5393400003,-51200.8813499995,67128.0,15927.118650000508,7855171.324503001,10022893.649748001
2018-03-01,1616457.5679799998,-51200.8813499995,67128.0,15927.118650000508,9471628.892483002,10013894.542313002
2018-03-02,853404.7027520001,-54547.71010999956,86158.0,31610.289890000447,9702915.133991001,10028876.932215001
2018-03-05,836110.3368209997,-58191.70868899947,93295.0,35103.29131100055,9124161.612587001,10026946.802523002
2018-03-06,141791.51588799997,-62625.43297899946,101427.00000000001,38801.56702100056,9518561.013739001,10031574.642859
2018-03-07,12420.328071999887,-62625.43297899946,101427.00000000001,38801.56702100056,9530981.341811001,10034120.790459001
2018-03-08,394972.94692,-62625.43297899946,101427.00000000001,38801.56702100056,9136008.394891001,10037582.339371001
2018-03-09,1099595.0628339997,-62625.43297899946,101427.00000000001,38801.56702100056,8036413.332057,10031874.689627
2018-03-12,332487.6784679997,-62625.43297899946,101427.00000000001,38801.56702100056,8368901.010525,10029261.235777
2018-03-13,17335.705512000044,-62625.43297899946,101427.00000000001,38801.56702100056,8386236.7160370005,10034167.394597001
2018-03-14,72736.42689000003,-74184.05321899944,113747.00000000001,39562.94678100059,9182043.873727,10036918.345437
2018-03-15,83955.00750000005,-89310.68377299937,127712.00000000001,38401.31622700066,10038401.316227,10038401.316227
2018-03-16,0.0,-89310.68377299937,127712.00000000001,38401.31622700066,10038401.316227,10038401.316227
2018-03-19,0.0,-89310.68377299937,127712.00000000001,38401.31622700066,10038401.316227,10038401.316227
2018-03-20,0.0,-89310.68377299937,127712.00000000001,38401.31622700066,10038401.316227,10038401.316227
2018-03-21,0.0,-89310.68377299937,127712.00000000001,38401.31622700066,10038401.316227,10038401.316227
2018-03-22,59221.54310399997,-89310.68377299937,127712.00000000001,38401.31622700066,10057011.773123,10037825.316227
2018-03-23,428304.7595599999,-89310.68377299937,127712.00000000001,38401.31622700066,10485316.532683,10034244.513283
2018-03-26,948010.570846,-89310.68377299937,127712.00000000001,38401.31622700066,9645319.961837,10028767.570803
2018-03-27,876937.2072200003,-89310.68377299937,127712.00000000001,38401.31622700066,10522257.169057,10018763.972197
2018-03-28,242848.16022099988,-89310.68377299937,127712.00000000001,38401.31622700066,10765105.329278,10018259.952134
2018-03-29,1348735.8314149997,-89310.68377299937,127712.00000000001,38401.31622700066,9518469.497863,10024289.248358
2018-04-02,2426003.4114180002,-89310.68377299937,127712.00000000001,38401.31622700066,11944472.909281,9990466.204494
2018-04-03,1808809.2956199998,-89310.68377299937,127712.00000000001,38401.31622700066,10232727.613661,9995501.498564001
2018-04-04,1758997.3985320001,-89310.68377299937,127712.00000000001,38401.31622700066,8589450.215129001,9992326.682745
2018-04-05,1703492.575532,-89310.68377299937,127712.00000000001,38401.31622700066,6988085.639597001,10011184.368633
2018-04-06,4900054.733304,-89310.68377299937,127712.00000000001,38401.31622700066,11888140.372901002,9963556.492425002
2018-04-09,1361690.5900000003,-89310.68377299937,127712.00000000001,38401.31622700066,10626681.782901002,9953573.966601003
2018-04-10,4246735.233085,-89310.68377299937,127712.00000000001,38401.31622700066,6468870.549816002,9950898.534656001
2018-04-11,1401249.0445919996,-89310.68377299937,127712.00000000001,38401.31622700066,7870119.594408002,9981724.026872002
2018-04-12,2843422.242913,-117089.45881299928,145892.0,28802.54118700076,5191667.764179002,10006094.881810002
2018-04-13,804757.282985,-137712.1998529992,163252.0,25539.80014700082,6308670.961764002,10057568.585184002
2018-04-16,2850907.726695,-164611.3200099988,189434.0,24822.679990001237,3625613.0855520014,10086782.608488
2018-04-17,2269659.7879149998,-164461.27138599855,188807.0,24345.728614001488,2130678.1900400026,10068320.551800001
2018-04-18,129919.65381299997,-163728.35991299833,188856.0,25127.640087001713,2859216.0699230027,10077346.532600002
2018-04-19,928189.6563019995,-177452.83076299823,203106.0,25653.169237001814,4617657.9500250025,10083137.526150003
2018-04-20,1717765.5639,-177452.83076299823,203106.0,25653.169237001814,6335423.513925002,10078771.317650001
2018-04-23,291369.9673579999,-171251.64716299818,203106.0,31854.35283700185,7086399.958972002,10100958.296750002
2018-04-24,2923968.893732,-187052.18950299796,223874.0,36821.81049700207,10649978.200928003,10076030.845264003
2018-04-25,1036939.916172,-207470.16697299777,249449.0,41978.83302700228,10053990.390821,10078115.606344001
2018-04-26,1567039.0670399999,-228494.37032899758,275085.0,46590.62967100246,8138941.144121003,10087116.000372004
2018-04-27,48358.35619199982,-230677.11967799743,286360.0,55682.8803220026,8497832.330809003,10101306.175897002
2018-04-30,1326322.078035,-238704.21264199767,306644.0,67939.78735800236,10423968.645316003,10109430.786182003
2018-05-01,537287.9419920002,-249038.05717999756,332702.0,83663.94282000247,10133796.811644003,10117261.543984003
2018-05-02,760456.0380000002,-259293.4116519975,357122.0,97828.58834800254,10950330.367404003,10117848.417244002
