date,exdate,strike_price,expiry_indicator,close,adj_open,adj_close,adj_volume,strikeID,cp_flag_c,best_bid_c,best_offer_c,volume_c,open_interest_c,impl_volatility_c,delta_c,gamma_c,vega_c,theta_c,cp_flag_p,best_bid_p,best_offer_p,volume_p,open_interest_p,impl_volatility_p,delta_p,gamma_p,vega_p,theta_p,delta_sum,shares_held,sharechange,stock_pos,avg_cost,realized_PL,option_PL,stock_PL
2018-01-02,2018-01-31,269.0,w,268.77,242.053392966015,242.893856136036,86655749.0,20180131_269.0,C,2.11,2.16,477.0,37.0,0.068871,0.512031,0.0764,30.21236,-15.22501,P,2.05,2.1,198.0,33.0,0.069577,-0.496183,0.077797,30.11151,-11.46749,0.01584800000000003,-0.01584800000000003,,-0.01584800000000003,268.77,0.0,-0.09999999999999964,0.0
2018-01-03,2018-01-31,269.0,w,270.47,243.065563665395,244.430186661881,90070416.0,20180131_269.0,C,3.21,3.26,281.0,431.0,0.074666,0.630037,0.067484,28.2848,-16.38524,P,1.37,1.4,537.0,142.0,0.072179,-0.370678,0.070932,28.25019,-11.92128,0.25935899999999995,-0.25935899999999995,-0.24351099999999992,-0.25935899999999995,270.3661223632109,0.0,0.3200000000000003,-0.02694160000000077
2018-01-04,2018-01-31,269.0,w,271.61,245.089905064155,245.460431838035,80595402.0,20180131_269.0,C,4.06,4.1,65.0,666.0,0.079599,0.695087,0.059544,25.88033,-16.81996,P,1.1,1.12,411.0,408.0,0.077402,-0.303227,0.06172,25.781,-12.32716,0.39186,-0.39186,-0.13250100000000004,-0.39186,270.7867190833461,0.0,0.9000000000000004,-0.32261085999999356
2018-01-05,2018-01-31,269.0,w,273.42,246.273783292894,247.09617198614,83468662.0,20180131_269.0,C,5.5,5.56,28.0,620.0,0.086257,0.778682,0.047196,21.67121,-16.38261,P,0.76,0.79,1271.0,733.0,0.084433,-0.218306,0.048138,21.48135,-11.87776,0.560376,-0.560376,-0.168516,-0.560376,271.57859804845316,0.0,2.0,-1.0318774600000036
2018-01-08,2018-01-31,269.0,w,273.92,246.99676236388,247.548033905506,57288979.0,20180131_269.0,C,5.86,5.96,37.0,607.0,0.092361,0.798319,0.044298,19.33179,-17.51425,P,0.59,0.61,918.0,1482.0,0.085578,-0.185301,0.045619,18.36269,-11.72842,0.6130180000000001,-0.6130180000000001,-0.05264200000000008,-0.6130180000000001,271.7796624242681,0.0,2.1900000000000004,-1.3120654600000214
2018-01-09,2018-01-31,269.0,w,274.54,247.981821348098,248.10834268552,57253957.0,20180131_269.0,C,6.32,6.49,1.0,610.0,0.094537,0.823886,0.040614,17.45268,-17.11751,P,0.61,0.62,123.0,2265.0,0.094566,-0.17722,0.040922,17.49816,-13.02033,0.646666,-0.646666,-0.0336479999999999,-0.646666,271.92329118896,0.0,2.670000000000001,-1.692136620000024
2018-01-10,2018-01-31,269.0,w,274.12,247.331140184211,247.728778673253,69499524.0,20180131_269.0,C,5.95,6.08,77.0,609.0,0.09481,0.810304,0.043481,17.82653,-18.00627,P,0.6,0.62,9029.0,2307.0,0.091961,-0.183642,0.044112,17.46862,-13.23275,0.626662,-0.626662,0.02000399999999991,-0.626662,271.92329118896,-0.043942963056044476,2.29,-1.420536900000009
2018-01-11,2018-01-31,269.0,w,276.12,248.298124691654,249.536226350717,62306557.0,20180131_269.0,C,7.55,7.67,0.0,641.0,0.089192,0.903513,0.02966,11.05575,-12.71091,P,0.39,0.4,447.0,9384.0,0.099933,-0.122711,0.031545,13.11876,-11.48233,0.780802,-0.780802,-0.15413999999999994,-0.780802,272.7517735649448,0.0,3.6799999999999997,-2.673860900000009
2018-01-12,2018-01-31,269.0,w,277.92,249.807343502337,251.162929260435,90789911.0,20180131_269.0,C,9.26,9.4,201.0,641.0,0.099705,0.930628,0.021099,8.460899,-11.92252,P,0.29,0.3,4673.0,9352.0,0.110215,-0.090212,0.023322,10.32878,-10.55209,0.840416,-0.840416,-0.059614000000000056,-0.840416,273.11837611737053,0.0,5.289999999999999,-4.035361536943973
2018-01-16,2018-01-31,269.0,w,276.97,252.455254349822,250.304391613639,106555142.0,20180131_269.0,C,8.58,8.73,1.0,842.0,0.134549,0.865794,0.028627,12.14475,-23.38263,P,0.41,0.42,2454.0,11564.0,0.125662,-0.118707,0.028183,11.12321,-16.56495,0.747087,-0.747087,0.0933290000000001,-0.747087,273.11837611737053,-0.3594682053419287,4.73,-3.236966336943951
2018-01-17,2018-01-31,269.0,w,279.61,251.262338882695,252.690222547892,113201396.0,20180131_269.0,C,10.85,11.05,0.0,842.0,0.12975,0.940377,0.016692,6.487259,-14.79626,P,0.25,0.26,1339.0,10521.0,0.13971,-0.073878,0.018314,7.665309,-13.65728,0.866499,-0.866499,-0.11941200000000007,-0.866499,274.01298510257715,0.0,6.84,-5.209276016943941
2018-01-18,2018-01-31,269.0,w,279.14,252.572738448857,252.265472343688,100682250.0,20180131_269.0,C,10.6,10.77,2.0,842.0,0.157445,0.899382,0.021258,9.290635,-24.15831,P,0.29,0.3,879.0,10183.0,0.145264,-0.083507,0.02009,8.089207,-16.15949,0.815875,-0.815875,0.050624,-0.815875,274.01298510257715,-0.2595500021671338,6.629999999999999,-4.442553281601993
2018-01-19,2018-01-31,269.0,w,280.41,252.861930077251,253.413201618878,140895374.0,20180131_269.0,C,11.53,11.74,0.0,840.0,0.128878,0.964919,0.011823,3.93637,-11.62031,P,0.14,0.15,371.0,10139.0,0.140585,-0.048356,0.014065,5.106381,-10.72263,0.916563,-0.916563,-0.100688,-0.916563,274.7157219968132,0.0,7.41,-5.478714531602025
2018-01-23,2018-01-31,269.0,w,283.29,255.518878163124,256.015926274426,97084700.0,20180131_269.0,C,14.53,14.67,5.0,829.0,0.22279,0.944723,0.011959,4.676473,-27.58967,P,0.06,0.07,23.0,10077.0,0.177661,-0.023102,0.00735,2.290031,-9.210225,0.921621,-0.921621,-0.005058000000000007,0.0,274.76277897374854,-7.858865969434917,10.33,-7.858865969434917
